종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"017960","한국카본","KOSPI","기계","11400","100","0.88","501152629800"
"161890","한국콜마","KOSPI","화학","33800","-1300","-3.70","773383884000"
"024720","한국콜마홀딩스","KOSPI","기타금융","14300","-200","-1.38","265647081700"
"161390","한국타이어앤테크놀로지","KOSPI","화학","34300","-650","-1.86","4248914866700"
"034830","한국토지신탁","KOSPI","기타금융","1360","25","1.87","343385352800"
"007280","한국특강","KOSPI","철강금속","2200","0","0.00","133297115600"
"168490","한국패러랠","KOSPI","기타금융","2070","-5","-0.24","165641400000"
"010100","한국프랜지","KOSPI","운수장비","2270","-25","-1.09","69122453400"
"047810","한국항공우주","KOSPI","운수장비","44400","-650","-1.44","4327894750800"
"123690","한국화장품","KOSPI","유통업","6320","-70","-1.10","101549760000"
"003350","한국화장품제조","KOSPI","화학","19800","-200","-1.00","89733600000"
"011500","한농화성","KOSPI","화학","12650","50","0.40","197808581300"
"002390","한독","KOSPI","의약품","14400","100","0.70","198194875200"
"053690","한미글로벌","KOSPI","서비스업","29800","600","2.05","326534990000"
"042700","한미반도체","KOSPI","기계","11950","0","0.00","1182091060300"
"008930","한미사이언스","KOSPI","기타금융","29800","0","0.00","2044985783200"
"128940","한미약품","KOSPI","의약품","229000","500","0.22","2820815359000"
"009240","한샘","KOSPI","유통업","40050","0","0.00","942533816400"
"020000","한섬","KOSPI","섬유의복","24450","0","0.00","602203500000"
"003680","한성기업","KOSPI","음식료품","5140","-40","-0.77","31916907100"
"105630","한세실업","KOSPI","섬유의복","14600","600","4.29","584000000000"
"069640","한세엠케이","KOSPI","유통업","2635","-65","-2.41","79330632770"
"016450","한세예스24홀딩스","KOSPI","섬유의복","4200","25","0.60","168000000000"
"010420","한솔PNS","KOSPI","유통업","1565","-5","-0.32","32071563780"
"009180","한솔로지스틱스","KOSPI","운수창고업","2480","-40","-1.59","68144014000"
"213500","한솔제지","KOSPI","종이목재","15750","350","2.27","374859072000"
"014680","한솔케미칼","KOSPI","화학","174000","1000","0.58","1972323930000"
"004710","한솔테크닉스","KOSPI","전기전자","4615","15","0.33","148187086970"
"004150","한솔홀딩스","KOSPI","기타금융","3110","-40","-1.27","130646674470"
"025750","한솔홈데코","KOSPI","종이목재","1025","5","0.49","82579277725"
"004960","한신공영","KOSPI","건설업","9140","310","3.51","105756216280"
"011700","한신기계","KOSPI","기계","6100","50","0.83","197921521100"
"001750","한양증권","KOSPI","증권","9150","90","0.99","116466086100"
"001755","한양증권우","KOSPI","증권","15050","50","0.33","7901250000"
"018880","한온시스템","KOSPI","기계","7370","-90","-1.21","3934106000000"
"009420","한올바이오파마","KOSPI","의약품","13650","150","1.11","713084708700"
"014130","한익스프레스","KOSPI","운수창고업","4300","-110","-2.49","51600000000"
